,years,values
0,1981,22.443256
1,1982,22.569508
2,1983,22.915274
3,1984,22.109985
4,1985,22.151428
5,1986,22.238602
6,1987,22.923464
7,1988,22.719276
8,1989,22.26093
9,1990,22.603199
10,1991,22.750893
11,1992,22.640274
12,1993,22.364553
13,1994,22.505222
14,1995,23.004547
15,1996,22.636486
16,1997,22.986576
17,1998,23.294617
18,1999,22.390938
19,2000,22.370447
20,2001,22.531475
21,2002,22.757381
22,2003,22.760834
23,2004,22.64501
24,2005,22.979187
25,2006,22.863321
26,2007,22.822304
27,2008,22.619923
28,2009,22.90626
29,2010,23.138319
30,2011,22.773935
31,2012,22.698647
32,2013,22.875397
33,2014,22.881733
34,2015,23.294083
35,2016,23.385658
36,2017,23.106585
37,2018,22.92008
38,2019,23.146671
39,2020,23.415756
